	murra668_20180508_qc_15	murra668_20180508_qc_16	murra668_20180508_qc_17	murra668_20180508_qc_18	murra668_20180508_qc_19	murra668_20180508_qc_20	murra668_20180508_qc_21	murra668_20180508_qc_22	murra668_20180508_qc_23	murra668_20180508_qc_24
M391T729	24255904.358672	23591334.8434296	26328619.7550002	24467623.4119155	22157894.6923125	22283730.8390039	21842702.5970001	21408911.7946934	23141954.3149598	21292354.1418397
M392T730	7187671.41068946	7753291.71769298	6418967.76764101	6979694.33727562	6645409.70929688	6392604.73962499	6242967.44937503	6576533.68960965	6955934.30928572	5861174.44002872
M403T434	4065441.61744895	4129864.03991797	4211646.48557161	3948936.1300211	3612496.16171939	3626938.30933218	3766722.43776562	3689013.87993693	3680983.51418773	3830330.13026647
M409T545	9853171.00080113	10431471.6241754	11714282.387775	10754852.3712021	9574548.29608503	8956775.93674465	10138071.6800925	9128583.84625962	8826516.51469832	8509963.50555399
M413T730	12794453.6460786	13577072.1039434	13593390.3546232	12904778.4124999	12002081.6805469	11737245.6764319	12008191.0290118	12069082.6609153	12614201.0308305	10922331.1412097
M426T545	15314378.3331688	14274327.0802592	14076326.806171	14892855.0481296	13052265.8195514	12516432.1322688	13229267.1423635	13519407.0734576	10908202.0396792	12100653.0594618
M427T545	3617999.88312501	5021399.51870516	3791194.99638965	3896603.5374354	3776923.85269816	3107319.11788553	3625190.72706456	2858490.22119524	3222859.0595066	4139357.80647813
M431T545	13072285.4683409	12777303.7379657	13496238.8440385	12515507.6229958	10168585.9564971	12065039.2683052	11160661.7003895	10251499.3872772	10595433.3971739	11417202.9184941
M432T545	3735301.70121232	3889729.03808671	4287594.54571239	3666960.77320504	3608315.84500029	2152009.10353962	3763114.15141783	2771359.65704557	2303383.09274172	2685629.73472177
M450T341	24267656.4770107	24835867.1138571	23411463.9759364	22541091.0746337	22690471.1648998	20821073.3929632	22016083.2857497	22210689.2777737	21305581.8807764	22779690.5787884
M451T341	7440754.41006102	7923989.00758451	7659052.61605448	9052536.40128716	7827269.61784608	7515369.92605638	6261940.48384744	7632734.03450506	6118595.2395551	7002651.10230465
M458T518	8344574.49653161	7837317.54306811	8159819.49615116	8214963.00644113	7023485.17417175	6907320.14378906	6943183.55875403	5554422.71720295	3329641.83583125	7366025.70251302
M459T518	21683239.2938934	21387660.7107396	21756387.4385521	21130368.6015382	19909934.4830851	19188321.1653769	19132363.2447499	19610965.2509691	20174931.3314652	20339308.5383845
M460T518	6913423.00784085	7517523.94611039	7571059.49844136	6990465.72623882	6889716.38948348	6850844.00381784	6436364.41279782	6585677.01984212	6597606.00330602	6980711.18434011
M470T544	11860486.2158432	13648497.1723558	10040675.4721699	14394124.6167511	14545910.8675534	13078299.7770279	12915337.116988	14127506.6957631	12296899.3213493	13091384.2648185
M471T466	4323919.56422707	4220643.93049242	4545337.85383725	4283847.75392307	4160365.96384713	4188866.28276922	4280705.14381382	4068328.7912585	4151365.09126119	4207693.57399301
M472T341	4070420.05735281	3314823.21025731	3197010.44561886	3019788.08205081	2918526.0896216	3199759.35801307	3428237.72441313	3102412.57531064	3033912.4954832	2636527.3725641
M473T498	11680525.1998571	11574428.9819937	11565113.7877954	11843981.5467116	11557001.0197104	10586903.6760215	11158631.8641314	9786915.02870408	10639203.5362876	9832600.76475115
M475T480	13504687.608416	13881376.5543127	14818623.6306787	14524068.7769457	13049759.3503584	13303131.3198472	13540295.2939688	12204741.2575388	12331437.4918938	13942483.6347589
M475T544	6060959.11986281	6350886.55918941	6183008.95720844	6543954.91948929	7643802.54746884	6287144.07127825	7131356.73784103	6650250.00323817	6152050.97786523	7319414.63332099
M476T480	5605745.46084533	5835787.55987399	5474553.11920667	5106079.46593529	4781845.97117164	4936748.74876893	4433891.15017203	4584775.32200091	4774783.94980397	4835322.03434153
M493T758	17833495.247123	17977699.7157352	20653773.6196785	14731590.7352251	19565093.1624224	15971977.5072782	15906367.1080959	18089929.4817094	15775397.6009674	13767236.1701198
M497T209	12737561.9684063	10791533.7198305	11068261.672875	10658533.4280667	9113930.49366122	9014946.37236901	9118379.4950125	9845991.75193754	7699084.15723731	10915950.921569
M529T342	32384008.5827026	32794854.3045338	33149027.3826667	32068403.9415021	30119665.4564739	30529935.172028	29403971.154067	30557207.3716179	28481471.0393949	29878797.5705681
M530T342	12893685.1867737	11462949.1409935	11746094.6046885	11786023.1508242	10053827.4255441	10782959.8700908	10141873.0657251	10475139.8970258	10100604.8642124	9455496.37458224
